통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,서울특별시,구로구,아동양육비,,,202503,서울특별시,구로구,아동양육비,1234,,202502,서울특별시,구로구,아동양육비,1227,,202412,서울특별시,마포구,학용품비,7,,202501,서울특별시,구로구,아동양육비,1205
통합,서울특별시,구로구,생활보조금,,,202503,서울특별시,구로구,생활보조금,3,,202502,서울특별시,구로구,생활보조금,5,,202412,서울특별시,양천구,아동양육비,1321,,202501,서울특별시,구로구,생활보조금,4
통합,서울특별시,구로구,추가아동양육비,,,202503,서울특별시,구로구,추가아동양육비,135,,202502,서울특별시,구로구,추가아동양육비,133,,202412,서울특별시,양천구,추가아동양육비,125,,202501,서울특별시,구로구,추가아동양육비,134
통합,서울특별시,금천구,아동양육비,,,202503,서울특별시,금천구,아동양육비,935,,202502,서울특별시,금천구,아동양육비,926,,202412,서울특별시,강서구,아동양육비,2023,,202501,서울특별시,금천구,아동양육비,920
통합,서울특별시,금천구,추가아동양육비,,,202503,서울특별시,금천구,추가아동양육비,130,,202502,서울특별시,금천구,추가아동양육비,130,,202412,서울특별시,강서구,추가아동양육비,186,,202501,서울특별시,금천구,추가아동양육비,133
통합,서울특별시,영등포구,아동양육비,,,202503,서울특별시,영등포구,아동양육비,451,,202502,서울특별시,영등포구,아동양육비,458,,202412,서울특별시,구로구,아동양육비,1335,,202501,서울특별시,영등포구,아동양육비,457
통합,서울특별시,영등포구,추가아동양육비,,,202503,서울특별시,영등포구,추가아동양육비,37,,202502,서울특별시,영등포구,추가아동양육비,39,,202412,서울특별시,구로구,생활보조금,4,,202501,서울특별시,영등포구,추가아동양육비,41
통합,서울특별시,동작구,아동양육비,,,202503,서울특별시,동작구,아동양육비,610,,202502,서울특별시,동작구,아동양육비,604,,202412,서울특별시,구로구,추가아동양육비,133,,202501,서울특별시,동작구,아동양육비,596
통합,서울특별시,동작구,추가아동양육비,,,202503,서울특별시,동작구,추가아동양육비,57,,202502,서울특별시,동작구,추가아동양육비,54,,202412,서울특별시,구로구,학용품비,12,,202501,서울특별시,동작구,추가아동양육비,55
통합,서울특별시,관악구,아동양육비,,,202503,서울특별시,관악구,아동양육비,1157,,202502,서울특별시,관악구,아동양육비,1151,,202412,서울특별시,금천구,아동양육비,997,,202501,서울특별시,관악구,아동양육비,1140
통합,서울특별시,관악구,추가아동양육비,,,202503,서울특별시,관악구,추가아동양육비,105,,202502,서울특별시,관악구,추가아동양육비,106,,202412,서울특별시,금천구,추가아동양육비,134,,202501,서울특별시,관악구,추가아동양육비,106
통합,서울특별시,서초구,아동양육비,,,202503,서울특별시,서초구,아동양육비,442,,202502,서울특별시,서초구,아동양육비,435,,202412,서울특별시,금천구,학용품비,5,,202501,서울특별시,서초구,아동양육비,439
통합,서울특별시,서초구,추가아동양육비,,,202503,서울특별시,서초구,추가아동양육비,36,,202502,서울특별시,서초구,추가아동양육비,34,,202412,서울특별시,영등포구,아동양육비,503,,202501,서울특별시,서초구,추가아동양육비,33
통합,서울특별시,강남구,아동양육비,,,202503,서울특별시,강남구,아동양육비,648,,202502,서울특별시,강남구,아동양육비,636,,202412,서울특별시,영등포구,추가아동양육비,38,,202501,서울특별시,강남구,아동양육비,723
통합,서울특별시,강남구,추가아동양육비,,,202503,서울특별시,강남구,추가아동양육비,31,,202502,서울특별시,강남구,추가아동양육비,30,,202412,서울특별시,동작구,아동양육비,661,,202501,서울특별시,강남구,추가아동양육비,35
통합,서울특별시,송파구,아동양육비,,,202503,서울특별시,송파구,아동양육비,1263,,202502,서울특별시,송파구,아동양육비,1239,,202412,서울특별시,동작구,추가아동양육비,57,,202501,서울특별시,송파구,아동양육비,1228
통합,서울특별시,송파구,추가아동양육비,,,202503,서울특별시,송파구,추가아동양육비,112,,202502,서울특별시,송파구,추가아동양육비,110,,202412,서울특별시,관악구,아동양육비,1247,,202501,서울특별시,송파구,추가아동양육비,113
통합,서울특별시,강동구,아동양육비,,,202503,서울특별시,강동구,아동양육비,1166,,202502,서울특별시,강동구,아동양육비,1149,,202412,서울특별시,관악구,추가아동양육비,104,,202501,서울특별시,강동구,아동양육비,1123
통합,서울특별시,강동구,추가아동양육비,,,202503,서울특별시,강동구,추가아동양육비,122,,202502,서울특별시,강동구,추가아동양육비,122,,202412,서울특별시,관악구,학용품비,9,,202501,서울특별시,강동구,추가아동양육비,120
통합,부산광역시,중구,아동양육비,,,202503,부산광역시,중구,아동양육비,195,,202502,부산광역시,중구,아동양육비,190,,202412,서울특별시,서초구,아동양육비,460,,202501,부산광역시,중구,아동양육비,212
