통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,경상남도,고성군,추가아동양육비,
통합,경상남도,남해군,아동양육비,
통합,경상남도,남해군,추가아동양육비,
통합,경상남도,하동군,아동양육비,
통합,경상남도,하동군,추가아동양육비,
통합,경상남도,산청군,아동양육비,
통합,경상남도,산청군,추가아동양육비,
통합,경상남도,함양군,아동양육비,
통합,경상남도,함양군,추가아동양육비,
통합,경상남도,거창군,아동양육비,
통합,경상남도,거창군,추가아동양육비,
통합,경상남도,합천군,아동양육비,
통합,경상남도,합천군,추가아동양육비,
통합,제주특별자치도,제주시,아동양육비,
통합,제주특별자치도,제주시,추가아동양육비,
통합,제주특별자치도,서귀포시,아동양육비,
통합,제주특별자치도,서귀포시,추가아동양육비,
통합,강원특별자치도,춘천시,아동양육비,
통합,강원특별자치도,춘천시,생활보조금,
통합,강원특별자치도,춘천시,추가아동양육비,
통합,강원특별자치도,원주시,아동양육비,
통합,강원특별자치도,원주시,추가아동양육비,
통합,강원특별자치도,강릉시,아동양육비,
통합,강원특별자치도,강릉시,생활보조금,
통합,강원특별자치도,강릉시,추가아동양육비,
통합,강원특별자치도,동해시,아동양육비,
통합,강원특별자치도,동해시,추가아동양육비,
통합,강원특별자치도,태백시,아동양육비,
통합,강원특별자치도,태백시,추가아동양육비,
통합,강원특별자치도,속초시,아동양육비,
통합,강원특별자치도,속초시,추가아동양육비,
통합,강원특별자치도,삼척시,아동양육비,
통합,강원특별자치도,삼척시,추가아동양육비,
통합,강원특별자치도,홍천군,아동양육비,
통합,강원특별자치도,홍천군,추가아동양육비,
통합,강원특별자치도,횡성군,아동양육비,
통합,강원특별자치도,횡성군,추가아동양육비,
통합,강원특별자치도,영월군,아동양육비,
통합,강원특별자치도,영월군,추가아동양육비,
통합,강원특별자치도,평창군,아동양육비,
통합,강원특별자치도,평창군,추가아동양육비,
통합,강원특별자치도,정선군,아동양육비,
통합,강원특별자치도,정선군,추가아동양육비,
통합,강원특별자치도,철원군,아동양육비,
통합,강원특별자치도,철원군,추가아동양육비,
통합,강원특별자치도,화천군,아동양육비,
통합,강원특별자치도,화천군,추가아동양육비,
통합,강원특별자치도,양구군,아동양육비,
통합,강원특별자치도,양구군,추가아동양육비,
통합,강원특별자치도,인제군,아동양육비,
통합,강원특별자치도,인제군,추가아동양육비,
통합,강원특별자치도,고성군,아동양육비,
통합,강원특별자치도,고성군,추가아동양육비,
통합,강원특별자치도,양양군,아동양육비,
통합,강원특별자치도,양양군,추가아동양육비,
통합,전북특별자치도,전주시,아동양육비,
통합,전북특별자치도,전주시,생활보조금,
통합,전북특별자치도,전주시,추가아동양육비,
통합,전북특별자치도,군산시,아동양육비,
통합,전북특별자치도,군산시,생활보조금,
통합,전북특별자치도,군산시,추가아동양육비,
통합,전북특별자치도,익산시,아동양육비,
통합,전북특별자치도,익산시,생활보조금,
통합,전북특별자치도,익산시,추가아동양육비,
통합,전북특별자치도,정읍시,아동양육비,
통합,전북특별자치도,정읍시,추가아동양육비,
통합,전북특별자치도,남원시,아동양육비,
통합,전북특별자치도,남원시,추가아동양육비,
통합,전북특별자치도,김제시,아동양육비,
통합,전북특별자치도,김제시,추가아동양육비,
통합,전북특별자치도,완주군,아동양육비,
통합,전북특별자치도,완주군,생활보조금,
통합,전북특별자치도,완주군,추가아동양육비,
통합,전북특별자치도,진안군,아동양육비,
통합,전북특별자치도,진안군,추가아동양육비,
통합,전북특별자치도,무주군,아동양육비,
통합,전북특별자치도,무주군,추가아동양육비,
통합,전북특별자치도,장수군,아동양육비,
통합,전북특별자치도,장수군,추가아동양육비,
통합,전북특별자치도,임실군,아동양육비,
통합,전북특별자치도,임실군,추가아동양육비,
통합,전북특별자치도,순창군,아동양육비,
통합,전북특별자치도,순창군,추가아동양육비,
통합,전북특별자치도,고창군,아동양육비,
통합,전북특별자치도,고창군,추가아동양육비,
통합,전북특별자치도,부안군,아동양육비,
통합,전북특별자치도,부안군,추가아동양육비,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
202503.0,서울특별시,종로구,아동양육비,225.0
202503.0,서울특별시,종로구,추가아동양육비,23.0
202503.0,서울특별시,중구,아동양육비,217.0
202503.0,서울특별시,중구,추가아동양육비,15.0
202503.0,서울특별시,용산구,아동양육비,366.0
202503.0,서울특별시,용산구,생활보조금,5.0
202503.0,서울특별시,용산구,추가아동양육비,44.0
202503.0,서울특별시,성동구,아동양육비,474.0
202503.0,서울특별시,성동구,생활보조금,8.0
202503.0,서울특별시,성동구,추가아동양육비,32.0
202503.0,서울특별시,광진구,아동양육비,910.0
202503.0,서울특별시,광진구,추가아동양육비,66.0
202503.0,서울특별시,동대문구,아동양육비,801.0
202503.0,서울특별시,동대문구,추가아동양육비,74.0
202503.0,서울특별시,중랑구,아동양육비,1687.0
202503.0,서울특별시,중랑구,추가아동양육비,220.0
202503.0,서울특별시,성북구,아동양육비,1129.0
202503.0,서울특별시,성북구,생활보조금,2.0
202503.0,서울특별시,성북구,추가아동양육비,124.0
202503.0,서울특별시,강북구,아동양육비,1370.0
202503.0,서울특별시,강북구,추가아동양육비,153.0
202503.0,서울특별시,도봉구,아동양육비,1359.0
202503.0,서울특별시,도봉구,추가아동양육비,125.0
202503.0,서울특별시,노원구,아동양육비,1614.0
202503.0,서울특별시,노원구,추가아동양육비,141.0
202503.0,서울특별시,은평구,아동양육비,1623.0
202503.0,서울특별시,은평구,추가아동양육비,174.0
202503.0,서울특별시,서대문구,아동양육비,631.0
202503.0,서울특별시,서대문구,생활보조금,2.0
202503.0,서울특별시,서대문구,추가아동양육비,65.0
202503.0,서울특별시,마포구,아동양육비,522.0
